first_name,last_name,player_type,is_foreign,ipl_team,batting_avg,batting_sr,bowling_avg,bowling_econ
Matheesha,Pathirana,bowler,true,Kolkata Knight Riders,,,
Kartik,Tyagi,bowler,false,Kolkata Knight Riders,,,
Prashant,Solanki,bowler,false,Kolkata Knight Riders,,,
Akash,Deep,bowler,false,Kolkata Knight Riders,,,
Harshit,Rana,bowler,false,Kolkata Knight Riders,,,
Umran,Malik,bowler,false,Kolkata Knight Riders,,,
Sunil,Narine,allrounder,true,Kolkata Knight Riders,,,
Varun,Chakaravarthy,bowler,false,Kolkata Knight Riders,,,
Rishabh,Pant,wicketkeeper,false,Lucknow Super Giants,,,
Aiden,Markram,batsman,true,Lucknow Super Giants,,,
Himmat,Singh,batsman,false,Lucknow Super Giants,,,
Matthew,Breetzke,batsman,true,Lucknow Super Giants,,,
Mukul,Choudhary,wicketkeeper,false,Lucknow Super Giants,,,
Akshat,Raghuwanshi,batsman,false,Lucknow Super Giants,,,
Josh,Inglis,wicketkeeper,true,Lucknow Super Giants,,,
Nicholas,Pooran,wicketkeeper,true,Lucknow Super Giants,,,
Mitchell,Marsh,allrounder,true,Lucknow Super Giants,,,
Abdul,Samad,allrounder,false,Lucknow Super Giants,,,
Shahbaz,Ahamad,allrounder,false,Lucknow Super Giants,,,
Arshin,Kulkarni,allrounder,false,Lucknow Super Giants,,,
Wanindu,Hasaranga,allrounder,true,Lucknow Super Giants,,,
Ayush,Badoni,allrounder,false,Lucknow Super Giants,,,
Mohammad,Shami,bowler,false,Lucknow Super Giants,,,
Avesh,Khan,bowler,false,Lucknow Super Giants,,,
M,Siddharth,bowler,false,Lucknow Super Giants,,,
Digvesh,Singh,bowler,false,Lucknow Super Giants,,,
Akash,Singh,bowler,false,Lucknow Super Giants,,,
Prince,Yadav,bowler,false,Lucknow Super Giants,,,
Arjun,Tendulkar,bowler,false,Lucknow Super Giants,,,
Anrich,Nortje,bowler,true,Lucknow Super Giants,,,
Naman,Tiwari,bowler,false,Lucknow Super Giants,,,
